Paso	Temp_90.0C	Masa_90.0C	Temp_30.0C	Masa_30.0C
0	90.0000	32768.00	30.0000	32768.00
100	63.1069	32699.46	22.6930	32758.60
200	54.6275	32680.90	19.4054	32754.16
300	48.2838	32668.42	16.8602	32750.83
400	41.8570	32658.71	14.6962	32748.12
500	36.0782	32650.79	12.7655	32745.85
600	30.9768	32644.61	11.0280	32743.89
700	26.5500	32639.71	9.4613	32742.11
800	22.7524	32635.91	8.0391	32740.45
900	19.6432	32633.47	6.7472	32738.86
1000	17.0635	32631.87	5.5958	32737.36
1100	14.2053	32628.72	4.6008	32735.99
1200	11.7143	32625.88	3.7430	32734.77
1300	9.5866	32623.33	2.9722	32733.68
1400	7.8231	32621.01	2.2387	32732.73
1500	6.4149	32618.91	1.5386	32731.91
1600	5.7081	32617.01	0.8960	32731.20
1700	4.6897	32615.28	0.3172	32730.56
1800	3.4303	32613.74	-0.2134	32729.93
1900	2.2701	32612.44	-0.7040	32729.29
2000	1.2609	32611.40	-1.1357	32728.67
2100	0.4700	32610.77	-1.4923	32728.11
2200	-0.3146	32609.91	-1.7785	32727.60
2300	-1.0709	32608.87	-2.0281	32727.15
2400	-1.6922	32607.94	-2.2925	32726.76
2500	-2.1743	32607.09	-2.5708	32726.43
2600	-2.4914	32606.33	-2.8356	32726.16
2700	-2.4356	32605.64	-3.0755	32725.91
2800	-2.7525	32605.01	-3.2999	32725.65
2900	-3.2320	32604.45	-3.5090	32725.36
3000	-3.6593	32604.00	-3.6813	32725.10
3100	-4.0049	32603.68	-3.8119	32724.85
3200	-4.2765	32603.46	-3.8994	32724.63
3300	-4.5812	32603.03	-3.9681	32724.42
3400	-4.8253	32602.64	-4.0610	32724.24
3500	-5.0025	32602.28	-4.1807	32724.09
3600	-5.0985	32601.95	-4.3043	32723.97
3700	-5.0013	32601.65	-4.4183	32723.87
3800	-4.9264	32601.38	-4.5269	32723.75
3900	-5.1011	32601.12	-4.6262	32723.61
