Tiempo,TempA,TempB
0,63.3805,17.6126
0.1,63.387,17.5651
0.201,63.401,17.5611
0.3,63.3897,17.5742
0.4,63.3776,17.5526
0.5,63.3729,17.5736
0.601,63.348,17.5618
0.699,63.378,17.563
0.8,63.3701,17.5334
0.9,63.3693,17.5731
1,63.3536,17.5557
1.101,63.377,17.5455
1.201,63.367,17.5595
1.301,63.3488,17.5413
1.4,63.3438,17.5374
1.5,63.3525,17.5353
1.601,63.3322,17.5105
1.7,63.3307,17.5343
1.8,63.3207,17.5134
1.9,63.296,17.525
2,63.3048,17.5112
2.1,63.2475,17.502
2.2,63.2871,17.4838
2.3,63.2586,17.4897
2.401,63.2899,17.5148
2.5,63.2588,17.4659
2.6,63.2353,17.4965
2.7,63.2568,17.4949
2.8,63.2429,17.4552
2.9,63.2387,17.4702
3,63.2315,17.4799
3.1,63.2043,17.4236
3.2,63.2185,17.4527
3.3,63.1987,17.4637
3.401,63.2016,17.4434
3.501,63.2059,17.4332
3.6,63.1676,17.4432
3.701,63.1873,17.4449
3.8,63.182,17.4363
3.9,63.1636,17.4529
4,63.1825,17.4409
4.1,63.1697,17.4292
4.2,63.1361,17.4151
4.301,63.1859,17.4408
4.401,63.1916,17.3978
4.501,63.1482,17.4235
4.601,63.1581,17.4086
4.7,63.184,17.4261
4.8,63.1691,17.3905
4.9,63.1615,17.4063
5,63.1811,17.4186
5.1,63.1646,17.4191
5.201,63.1539,17.3991
5.301,63.1511,17.4103
5.401,63.1616,17.3879
5.5,63.1617,17.3939
5.601,63.1414,17.4034
5.7,63.1595,17.3972
5.799,63.1568,17.4085
5.9,63.154,17.3741
6.001,63.1361,17.363
6.1,63.1513,17.368
6.199,63.1657,17.3539
6.3,63.1631,17.3825
6.4,63.1579,17.3673
6.5,63.1319,17.3742
6.6,63.1454,17.3479
6.7,63.1566,17.3505
6.8,63.1339,17.3581
6.899,63.1455,17.3473
6.999,63.1645,17.3577
7.1,63.1484,17.3499
7.201,63.1634,17.3211
7.299,63.1643,17.3375
7.399,63.1465,17.3243
7.499,63.1644,17.3217
7.6,63.139,17.3218
7.7,63.1318,17.3107
7.799,63.0932,17.3169
7.899,63.1156,17.2978
8,63.1241,17.3082
8.1,63.0992,17.3259
8.199,63.1088,17.3247
8.3,63.1059,17.3177
8.4,63.0886,17.3091
8.499,63.1091,17.2975
8.6,63.1038,17.3015
8.7,63.0769,17.2723
8.799,63.0733,17.2892
8.9,63.0779,17.2736
8.999,63.0689,17.2673
9.1,63.0625,17.3153
9.2,63.0634,17.2804
9.3,63.0607,17.266
9.399,63.0488,17.2736
9.499,63.0433,17.2564
9.6,63.0573,17.2682
9.699,63.0304,17.2569
9.801,63.0388,17.2599
9.9,63.043,17.2712
10,63.057,17.2535
10.1,63.0453,17.2408
10.199,63.0607,17.2111
10.299,63.0497,17.2524
10.4,63.0812,17.2488
10.499,63.0819,17.2481
10.6,63.0891,17.2387
10.7,63.0781,17.2146
10.799,63.102,17.2076
10.9,63.1084,17.2142
10.999,63.0996,17.2057
11.1,63.1064,17.2104
11.199,63.1182,17.2092
11.3,63.1314,17.181
11.399,63.1261,17.2037
11.5,63.1428,17.1938
11.6,63.1476,17.177
11.7,63.1445,17.1874
11.801,63.1653,17.1924
11.901,63.1207,17.1742
