t,tempA_mod,tempB_mod
0,61,15.5
10.9437,60.7336,15.3692
21.8874,60.4683,15.2396
32.8311,60.2042,15.1112
43.7748,59.9412,14.9838
54.7185,59.6794,14.8575
65.6622,59.4187,14.7324
76.6059,59.1592,14.6083
87.5496,58.9008,14.4854
98.4933,58.6435,14.3634
109.437,58.3873,14.2426
120.381,58.1323,14.1228
131.324,57.8784,14.0041
142.268,57.6256,13.8864
153.212,57.3739,13.7697
164.156,57.1233,13.654
175.099,56.8738,13.5393
186.043,56.6253,13.4257
196.987,56.378,13.313
207.93,56.1318,13.2013
218.874,55.8866,13.0906
229.818,55.6425,12.9809
240.761,55.3994,12.8721
251.705,55.1575,12.7642
262.649,54.9165,12.6573
273.593,54.6767,12.5513
284.536,54.4378,12.4463
295.48,54.2001,12.3422
306.424,53.9633,12.2389
317.367,53.7276,12.1366
328.311,53.4929,12.0352
339.255,53.2593,11.9346
350.198,53.0266,11.835
361.142,52.795,11.7362
372.086,52.5644,11.6382
383.03,52.3348,11.5411
393.973,52.1062,11.4449
404.917,51.8786,11.3495
415.861,51.652,11.2549
426.804,51.4264,11.1612
437.748,51.2018,11.0682
448.692,50.9782,10.9761
459.635,50.7555,10.8848
470.579,50.5338,10.7943
481.523,50.3131,10.7045
492.467,50.0933,10.6156
503.41,49.8745,10.5274
514.354,49.6566,10.44
525.298,49.4398,10.3534
536.241,49.2238,10.2675
547.185,49.0088,10.1823
558.129,48.7947,10.0979
569.072,48.5816,10.0143
580.016,48.3694,9.93133
590.96,48.1581,9.84912
601.904,47.9478,9.76763
612.847,47.7383,9.68684
623.791,47.5298,9.60676
634.735,47.3222,9.52738
645.678,47.1155,9.44869
656.622,46.9097,9.37069
667.566,46.7048,9.29337
678.509,46.5008,9.21672
689.453,46.2977,9.14074
700.397,46.0955,9.06542
711.341,45.8942,8.99075
722.284,45.6937,8.91674
733.228,45.4941,8.84338
744.172,45.2954,8.77065
755.115,45.0975,8.69856
766.059,44.9006,8.62709
777.003,44.7044,8.55625
787.946,44.5092,8.48602
798.89,44.3148,8.41641
809.834,44.1212,8.34741
820.778,43.9285,8.279
831.721,43.7366,8.2112
842.665,43.5456,8.14398
853.609,43.3554,8.07735
864.552,43.166,8.0113
875.496,42.9774,7.94582
886.44,42.7897,7.88092
897.383,42.6028,7.81658
908.327,42.4167,7.75281
919.271,42.2315,7.68959
930.215,42.047,7.62692
941.158,41.8633,7.56479
952.102,41.6805,7.50321
963.046,41.4984,7.44217
973.989,41.3172,7.38165
984.933,41.1367,7.32167
995.877,40.957,7.2622
1006.82,40.7781,7.20326
1017.76,40.6,7.14483
1028.71,40.4227,7.08691
1039.65,40.2461,7.02949
1050.6,40.0703,6.97258
1061.54,39.8953,6.91616
1072.48,39.721,6.86023
1083.43,39.5475,6.80479
1094.37,39.3748,6.74983
1105.31,39.2028,6.69535
1116.26,39.0316,6.64135
1127.2,38.8611,6.58782
1138.14,38.6913,6.53475
1149.09,38.5223,6.48215
1160.03,38.3541,6.43
1170.98,38.1866,6.37831
1181.92,38.0198,6.32707
1192.86,37.8537,6.27628
1203.81,37.6884,6.22593
1214.75,37.5237,6.17602
1225.69,37.3598,6.12654
1236.64,37.1966,6.07749
1247.58,37.0342,6.02888
1258.53,36.8724,5.98068
1269.47,36.7114,5.93291
1280.41,36.551,5.88555
1291.36,36.3914,5.83861
1302.3,36.2324,5.79207
1313.24,36.0741,5.74594
1324.19,35.9166,5.70022
1335.13,35.7597,5.65489
1346.08,35.6035,5.60995
1357.02,35.448,5.56541
1367.96,35.2931,5.52126
1378.91,35.139,5.47749
1389.85,34.9855,5.4341
1400.79,34.8327,5.39109
1411.74,34.6805,5.34846
1422.68,34.5291,5.30619
1433.62,34.3782,5.2643
1444.57,34.2281,5.22277
1455.51,34.0786,5.1816
1466.46,33.9297,5.14079
1477.4,33.7815,5.10034
1488.34,33.634,5.06024
1499.29,33.4871,5.02049
1510.23,33.3408,4.98109
1521.17,33.1952,4.94203
1532.12,33.0502,4.90331
1543.06,32.9058,4.86492
1554.01,32.7621,4.82688
1564.95,32.619,4.78916
1575.89,32.4765,4.75177
1586.84,32.3346,4.71471
1597.78,32.1934,4.67797
1608.72,32.0528,4.64155
1619.67,31.9128,4.60545
1630.61,31.7734,4.56967
1641.56,31.6346,4.53419
1652.5,31.4964,4.49903
1663.44,31.3589,4.46417
1674.39,31.2219,4.42961
1685.33,31.0855,4.39536
1696.27,30.9497,4.36141
1707.22,30.8146,4.32775
1718.16,30.68,4.29438
1729.1,30.5459,4.26131
1740.05,30.4125,4.22852
1750.99,30.2797,4.19602
1761.94,30.1474,4.1638
1772.88,30.0157,4.13187
